Tom Sawyer 456778901 234567 CD 500.00 open 7/22/2022
John Doe 123445678 123456 Savings 200.55 open   .
Jim Beam 234556789 567890 Checkings 1234.56 open    .
Jane Eyre 345667890 987654 Savings 2.33 open   . 
Huck Finn 567889012 345678 Checkings 123.98 open  .
John Doe 123445678 222222 CD 5000.00 open 12/12/2022  
John Doe 123445678 333333 Checkings 999.99 open    . 
Huck Finn 567889012 654321 Savings 543.66 open    .
Jack Spratt 678990123 256788 Savings 333.33 open   .
Jane Doe 456789012 389765 Checkings 888.56 open   .
Jane Doe 456789012 123123 Savings 8765.43 open   .
Huck Finn 567889012 243202 CD 4200.00 open 12/12/2025 
John Doe 123445678 144546 Savings 0.00 open     .
